日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/02/07,64637049,41221401027,644.0,644.0,631.0,635.0,-1.0,43774,
111/02/08,43786259,27805114442,645.0,645.0,628.0,628.0,-7.0,40026,
111/02/09,33633394,21289086984,635.0,637.0,630.0,633.0,5.0,29746,
111/02/10,37388892,24028303016,639.0,649.0,637.0,649.0,16.0,28452,
111/02/11,28194682,18225628338,646.0,650.0,642.0,650.0,1.0,21995,
111/02/14,39394670,25104180949,640.0,641.0,635.0,637.0,-13.0,33928,
111/02/15,24497955,15556533655,633.0,639.0,633.0,633.0,-4.0,31907,
111/02/16,27395771,17635435307,645.0,646.0,640.0,646.0,13.0,23136,
111/02/17,20447347,13171026165,644.0,646.0,641.0,645.0,-1.0,16116,
111/02/18,21948975,13997433486,638.0,639.0,636.0,637.0,-8.0,23892,
111/02/21,25769408,16320629980,633.0,636.0,632.0,632.0,-5.0,41961,
111/02/22,38526210,24153923316,628.0,630.0,625.0,627.0,-5.0,68303,
111/02/23,34561338,21606428438,624.0,629.0,623.0,625.0,-2.0,50926,
111/02/24,80672979,49358065299,618.0,619.0,604.0,604.0,-21.0,188248,
111/02/25,94155943,56880320916,600.0,609.0,600.0,604.0,0.0,129776,
