日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/03/01,70303880,42445208215,599.0,610.0,599.0,604.0,0.00,67439,
111/03/02,42428151,25528700277,601.0,605.0,600.0,601.0,-3.00,58916,
111/03/03,37103932,22373890387,603.0,607.0,601.0,602.0,+1.00,65410,
111/03/04,65235167,38833099256,595.0,597.0,592.0,595.0,-7.00,206731,
111/03/07,97167600,56147025127,580.0,581.0,575.0,576.0,-19.00,297917,
111/03/08,88371413,49908147901,561.0,570.0,561.0,563.0,-13.00,269695,
111/03/09,57512412,32761408119,567.0,573.0,567.0,568.0,+5.00,112422,
111/03/10,49092145,28798814637,585.0,589.0,582.0,587.0,+19.00,71569,
111/03/11,42981381,24820833930,581.0,582.0,574.0,575.0,-12.00,112158,
111/03/14,38562552,22131365409,574.0,577.0,572.0,572.0,-3.00,87337,
111/03/15,84338792,47191728965,562.0,563.0,558.0,558.0,-14.00,277901,
111/03/16,50764807,28345633852,564.0,565.0,555.0,558.0,X0.00,110732,
111/03/17,65820899,38121960334,578.0,583.0,575.0,582.0,+24.00,65468,
111/03/18,49583448,28771454221,582.0,582.0,576.0,581.0,-1.00,39576,
111/03/21,22800165,13363354969,583.0,589.0,583.0,586.0,+5.00,32617,
111/03/22,23421124,13613967252,577.0,586.0,577.0,583.0,-3.00,27371,
111/03/23,27475008,16177424772,590.0,590.0,586.0,590.0,+7.00,30970,
111/03/24,20769676,12232627003,587.0,592.0,585.0,591.0,+1.00,21647,
111/03/25,26794684,15984831591,597.0,598.0,595.0,598.0,+7.00,29896,
111/03/28,27954730,16298449416,581.0,586.0,580.0,584.0,-14.00,54537,
111/03/29,15742359,9243985774,586.0,589.0,584.0,589.0,+5.00,21222,
111/03/30,43256548,25908489513,599.0,600.0,597.0,600.0,+11.00,48535,
111/03/31,25130417,15014260610,602.0,602.0,594.0,597.0,-3.00,18860,
